'em	ah m #1
fifteen	f ih f t iy n
fifth	f ih f th
fifty	f ih f t iy #1
fight	f ay t #1
fights	f ay t s
figure	f ih g y er #1
figured	f ih g y er d
figures	f ih g y er z
file	f ay l #1
files	f ay l z
fill	f ih l #1
filling	f ih l ih ng
film	f ih l m #1
films	f ih l m z
filtered	f ih l t er d
filtering	f ih l t er ih ng
final	f ay n l #1
finally	f ay n l iy
financing	f ay n ae n s ih ng
find	f ay n d #1
finding	f ay n d ih ng
finds	f ay n d z
fine	f ay n #1
fine-feathered	f ay n f eh dh er d
finger	f ih ng g er #1
fingerprints	f ih ng g er p r ih n t s
fingers	f ih ng g er z
finish	f ih n ih sh #1
finishing	f ih n ih sh ih ng
fire	f ay er #1
firebug	f ay er b ah g
firecrackers	f ay er k r ae k er z
fireplace	f ay er p l ey s
fires	f ay er z
firing	f ay er ih ng
firmly	f er m l iy
firmness	f er m n ih s
firms	f er m z
first	f er s t
fiscal	f ih s k l
fish	f ih sh #1
fishermen	f ih sh er m eh n
fishing	f ih sh ih ng
fist	f ih s t #1
fists	f ih s t s
fit	f ih t #1
fitfully	f ih t f l iy
five	f ay v #1
five-hundred	f ay v hh ah n d r ah d
fix	f ih k s #1
fixed	f ih k s t
fjords	f iy aa r d z
flag	f l ae g
flame	f l ey m
flash	f l ae sh #1
flashing	f l ae sh ih ng
flat	f l ae t #1
flat-bottomed	f l ae t b aa t m d
flawless	f l aa l ah s
flaxseed	f l ae k s iy d
fled	f l eh d
fleecy	f l iy s iy
flesh	f l eh sh
flew	f l uw #1
flexibility	f l eh k s ah b ih l ih t iy
flexible	f l eh k s ah b l
flickered	f l ih k er d
flies	f l ay z
flimsy	f l ih m z iy
flip	f l ih p
float	f l ow t
floc	f l aa k
flood	f l ah d
floor	f l aa r #1
floorboards	f l aa r b aa r d z
flopped	f l aa p t
flourish	f l ah r ih sh #1
flourishes	f l ah r ih sh ih z
flow	f l ow #1
flower	f l aw er #1
flowerpot	f l aw er p aa t
flowers	f l aw er z
flu	f l uw #2
fluent	f l uw ah n t
fluid	f l uw ih d
flurries	f l er iy z
fluttered	f l ah t er d
flying	f l ay ih ng
foam	f ow m #1
foamy	f ow m iy
focus	f ow k ih s
fog	f aa g
foil	f oy l
fold	f ow l d #1
folded	f ow l d ih d
folds	f ow l d z
follow	f aa l ow #1
followed	f aa l ow d
following	f aa l ow ih ng
follows	f aa l ow z
food	f uw d #1
foods	f uw d z
fool	f uw l #1
fooling	f uw l ih ng
foolish	f uw l ih sh
fools	f uw l z
foot	f uh t #1
football	f uh t b aa l
footfall	f uh t f aa l
footnotes	f uh t n ow t s
for	f aa r #2
forbidden	f aa r b ih d n
force	f aa r s #1
forced	f aa r s t
forces	f aa r s ih z
forecasts	f aa r k ae s t s
forehead	f aa r hh eh d
foreign	f aa r ah n #1
foreigners	f aa r ah n er z
forest	f aa r ih s t
forever	f er eh v er
forged	f aa r jh d
forgery	f aa r jh er iy
forget	f aa r g eh t
forgiveness	f aa r g ih v n ih s
forgot	f aa r g aa t
form	f aa r m #2
formality	f aa r m ae l ih t iy
formation	f aa r m ey sh ih n
formed	f aa r m d
former	f aa r m er #1
forms	f aa r m z
formula	f aa r m y uh l ah
formulation	f aa r m y uh l ey sh ih n
forth	f aa r th
fortune	f aa r ch ih n
forty	f aa r t iy #1
forty-seven	f aa r t iy s eh v ah n
forward	f aa r w er d
fosters	f aa s t er z
fought	f aa t
foul	f aw l
found	f aw n d
four	f aa r #3
frame	f r ey m #1
framework	f r ey m w er k
frankfurter	f r ae ng k f er t er #1
frankfurters	f r ae ng k f er t er z
frantically	f r ae n t ih k l iy
freed	f r iy d #1
freedom	f r iy d ah m
freely	f r iy l iy
freethinkers	f r iy th ih ng k er z
freeway	f r iy w ey
frequent	f r iy k w ah n t #1
frequently	f r iy k w ah n t l iy
fresh	f r eh sh
friend	f r eh n d #1
friends	f r eh n d z
frightened	f r ay t n d
fringe	f r ih n jh
frivolous	f r ih v l ah s
from	f r ah m
front	f r ah n t
frost	f r aa s t #1
frostbite	f r aa s t b ay t
frowningly	f r aw n ih ng l iy
froze	f r ow z
fruit	f r uw t
frustration	f r ah s t r ey sh ih n
fudge	f ah jh
fulfilling	f uh l f ih l ih ng
fulfillment	f uh l f ih l m ah n t
full	f uh l #1
fullness	f uh l n ih s
fully	f uh l iy
fumbled	f ah m b l d
fuming	f y uw m ih ng
fun	f ah n #1
function	f ah ng k sh ih n #1
functional	f ah ng k sh ih n l
fund	f ah n d #1
funding	f ah n d ih ng
funds	f ah n d z
fungicides	f ah n jh ih s ay d z
funnel	f ah n l
funny	f ah n iy
fur	f er #1
furiously	f y uh r iy ah s l iy
furnish	f er n ih sh
furrier	f er iy er
further	f er dh er
fuss	f ah s #1
future	f y uw ch er
gab	g ae b
gadfly	g ae d f l ay
gadget	g ae jh ih t
gag	g ae g
gain	g ey n #1
gained	g ey n d
gait	g ey t #1
gallant	g ae l ih n t
gallon	g ae l ih n #1
galoshes	g ah l aa sh ih z
galvanic	g ae l v ae n ih k
game	g ey m
gang	g ae ng #1
gangplank	g ae ng p l ae ng k
garage	g er aa sh
garbage	g aa r b ih jh
garden	g aa r d n #1
gardens	g aa r d n z
garlic	g aa r l ih k
garrisoned	g ae r ih s ih n d
gas	g ae s #1
gashes	g ae sh ih z
gassing	g ae s ih ng
gates	g ey t s
gateway	g ey t w ey
gathered	g ae dh er d
gathering	g ae dh er ih ng
gaudy	g aa d iy
gave	g ey v
gay	g ey #1
gazed	g ey z d
gear	g ih r
geeing	jh iy ih ng
geese	g iy s
general	jh eh n er l #1
general's	jh eh n er l z #1
generalizations	jh eh n er l ah z ey sh ih n z
generalize	jh eh n er ah l ay z
generally	jh eh n er ah l iy
generals	jh eh n er l z #2
generations	jh eh n er ey sh ih n z
generous	jh eh n er ih s #1
generously	jh eh n er ih s l iy
gentle	jh eh n t l #1
gentleman	jh eh n t l m ah n
gently	jh eh n t l iy
genuinely	jh eh n y uw ah n l iy
geocentricism	jh iy ah s eh n t r ih s ih z m
geographically	jh iy ah g r ae f ih k l iy
geological	jh iy ah l aa jh ih k l
george	jh aa r jh
get	g eh t #1
gets	g eh t s
getting	g eh t ih ng
ghetto	g eh t ow #1
ghettos	g eh t ow z
ghost	g ow s t #1
ghostlike	g ow s t l ay k
giant	jh ay ih n t #1
giants	jh ay ih n t s
gift	g ih f t #1
gifted	g ih f t ih d
gifts	g ih f t s
gigantic	jh ay g ae n t ih k
gin	jh ih n
giraffes	jh er ae f s
girl	g er l #1
girlie	g er l iy
girlishly	g er l ih sh l iy
girls	g er l z
give	g ih v #1
given	g ih v ah n #1
gives	g ih v z
givin'	g ih v ah n #2
gland	g l ae n d
glass	g l ae s
glaze	g l ey z #1
glazed	g l ey z d
glazing	g l ey z ih ng
gleam	g l iy m #1
gleamed	g l iy m d
gleaming	g l iy m ih ng
glee	g l iy #1
glee-club	g l iy k l ah b
glimpse	g l ih m p s
glistened	g l ih s n d
glistening	g l ih s n ih ng
gloom	g l uw m
glories	g l aa r iy z
glorified	g l aa r ih f ay d
glossy	g l aa s iy
gloves	g l ah v z
glow	g l ow #1
glowed	g l ow d
glue	g l uw #1
glued	g l uw d
gluttons	g l ah t n z
go	g ow #1
go-cart	g ow k aa r t
goal	g ow l #1
goals	g ow l z
goat	g ow t
goes	g ow z
goin'	g ow ih n
going	g ow ih ng
gold	g ow l d
golfing	g aa l f ih ng
gone	g aa n
gonna	g ah n ah
good	g uh d #1
good-news	g uh d n uw z
good-size	g uh d s ay z
goodness	g uh d n ih s
goodnight	g uh d n ay t
goose	g uw s #1
gooseberry	g uw s b eh r iy
gorgeous	g aa r jh ih s
gosh	g aa sh
got	g aa t
goulash	g uw l aa sh
govern	g ah v er n #1
governing	g ah v er n ih ng
government	g ah v er n m ah n t
governor	g ah v er n er
gowns	g aw n z
grab	g r ae b
gracefully	g r ey s f ah l iy
grade	g r ey d #1
grade-equivalent	g r ey d ih k w ih v l ah n t
grades	g r ey d z
gradually	g r ae jh uw ah l iy
graduation	g r ae jh uw ey sh ih n
grains	g r ey n z
grandmother	g r ae n d m ah dh er
grants	g r ae n t s
graph	g r ae f
grateful	g r ey t f l
graying	g r ey ih ng
grazing	g r ey z ih ng
greasing	g r iy s ih ng
greasy	g r iy s iy
great	g r ey t #1
greater	g r ey t er
greatly	g r ey t l iy
greedily	g r iy d ah l iy
green	g r iy n #1
greenness	g r iy n ih s
greeted	g r iy t ih d
greg	g r eh g #1
gregory	g r eh g er iy
grievance	g r iy v ah n s #1
grievances	g r iy v ah n s ih z
grill	g r ih l
grin	g r ih n #1
grinned	g r ih n d
grip	g r ih p
groin	g r oy n
groom	g r uw m
gross	g r ow s
grotesque	g r ow t eh s k
ground	g r aw n d #1
groundhog	g r aw n d hh aa g
group	g r uw p #1
groups	g r uw p s
grow	g r ow #1
growing	g r ow ih ng
grown	g r ow n #1
grownups	g r ow n ah p s
grows	g r ow z
growth	g r ow th
grudgingly	g r ah jh ih ng l iy
grunt	g r ah n t
guaranteed	g ae r ah n t iy d
guarantees	g ae r ah n t iy z
guard	g aa r d #1
guerrilla	g er ih l ah #1
guerrillas	g er ih l ah z
guess	g eh s
guidance	g ay d n s
guide	g ay d #1
guidebook	g ay d b uh k
guides	g ay d z
guilt	g ih l t #1
guilty	g ih l t iy
gum	g ah m #1
gums	g ah m z
gun	g ah n #1
gunman	g ah n m ih n
gunpoint	g ah n p oy n t
gunpowder	g ah n p aw d er
guns	g ah n z
gurgle	g er g l
gus	g ah s
gushed	g ah sh t
guttural	g ah t er l
guy	g ay #1
guys	g ay z
gwen	g w eh n
gyro	jh ay r ow #1
gyrocompass	jh ay r ow k ah m p ah s
ha	hh aa #1
habit	hh ae b ih t
had	hh ae d
hafta	hh ae f t ah
haggard	hh ae g er d
hails	hh ey l z
hair	hh ae r #1
haired	hh ae r d
half	hh ae f #1
half-city	hh ae f s ih t iy
half-inch	hh ae f ih n ch
half-man	hh ae f m ae n
halloween	hh ae l ow iy n
hallway	hh aa l w ey
halves	hh ae v z
ham	hh ae m #1
ham-radio	hh ae m r ey d iy ow
hand	hh ae n d #1
handbag	hh ae n d b ae g
handed	hh ae n d ih d
handful	hh ae n d f uh l
handle	hh ae n d l #1
handling	hh ae n d l ih ng
hands	hh ae n d z
handsome	hh ae n s ah m
handy	hh ae n d iy #1
handyman	hh ae n d iy m ae n #1
handyman-carpenter	hh ae n d iy m ae n k aa r p ah n t er
hanging	hh ae ng ih ng
hangovers	hh ae ng ow v er z
happen	hh ae p ah n #1
happened	hh ae p ah n d
happening	hh ae p ah n ih ng
happier	hh ae p iy er
happily	hh ae p ah l iy
happy	hh ae p iy #1
hard	hh aa r d #1
hardly	hh aa r d l iy
hardy	hh aa r d iy
harmlessly	hh aa r m l ah s l iy
harmonize	hh aa r m ah n ay z
harmony	hh aa r m ah n iy
harms	hh aa r m z
harsh	hh aa r sh
has	hh ae z #1
hastily	hh ey s t ah l iy
hat	hh ae t #1
hate	hh ey t #1
hated	hh ey t ih d
hatred	hh ey t r ih d
hats	hh ae t s
haughty	hh aa t iy
hauling	hh aa l ih ng
haunted	hh aa n t ih d
have	hh ae v #1
haven't	hh ae v n t
having	hh ae v ih ng
hawing	hh aa ih ng
hay	hh ey #1
hazards	hh ae z er d z
haze	hh ey z
he	hh iy #1
he'd	hh iy d
he'll	hh ih l #1
he's	hh iy z
head	hh eh d #1
head-in-the-clouds	hh eh d ih n dh ah k l aw d z
headache	hh eh d ey k #1
headaches	hh eh d ey k s
heading	hh eh d ih ng
headquarters	hh eh d k w aa t er z
heads	hh eh d z
healing	hh iy l ih ng
health	hh eh l th #1
healthful	hh eh l th f uh l
healthier	hh eh l th iy er
healthy	hh eh l th iy #1
heap	hh iy p
hear	hh ih r #1
heard	hh er d #1
heart	hh aa r t #1
heartily	hh aa r t ah l iy
heat	hh iy t #1
heat's	hh iy t s
heater	hh iy t er
heating	hh iy t ih ng
heave	hh iy v
heaven	hh eh v ah n #1
heavens	hh eh v ah n z
heavier	hh eh v iy er
heavy	hh eh v iy #1
heck	hh eh k
heels	hh iy l z
heights	hh ay t s
held	hh eh l d
helium	hh iy l iy ah m
hell	hh eh l #1
hello	hh eh l ow
help	hh eh l p #1
helpful	hh eh l p f uh l
helping	hh eh l p ih ng
helpless	hh eh l p l ah s
helps	hh eh l p s
hem	hh eh m #1
hemorrhage	hh eh m er ih jh
hen	hh eh n #1
henceforth	hh eh n s f aa r th
henry	hh eh n r iy
hepatitis	hh eh p ah t ay t ih s
her	hh er #1
herb's	hh er b z
herd	hh er d #2
herdin'	hh er d n
here	hh ih r #2
here's	hh ih r z
heritage	hh eh r ah t ih jh
hero	hh ih r ow #1
heroes	hh ih r ow z
heroic	hh ih r ow ih k
heroism	hh eh r ow ih z m
herself	hh er s eh l f
hesitate	hh eh z ih t ey t
hey	hh ey #2
hibachi	hh ih b aa ch iy
hide	hh ay d #1
hides	hh ay d z
hiding	hh ay d ih ng
hierarchies	hh ay er aa r k iy z
high	hh ay #1
higher	hh ay er #1
highest	hh ay ih s t
highly	hh ay l iy
highway	hh ay w ey
hiking	hh ay k ih ng
hills	hh ih l z
hillside	hh ih l s ay d
him	hh ih m #1
himself	hh ih m s eh l f
hindu	hh ih n d uw
hint	hh ih n t
hire	hh ay er #2
hired	hh ay er d
hires	hh ay er z
hiring	hh ay er ih ng
his	hh ih z
hispanic	hh ih s p ae n ih k
historians	hh ih s t aa r iy ah n z
historical	hh ih s t aa r ih k l #1
historically	hh ih s t aa r ih k l iy
history	hh ih s t er iy
hit	hh ih t
hoarse	hh aa r s #1
hold	hh ow l d #1
holder	hh ow l d er
holding	hh ow l d ih ng
holds	hh ow l d z
hole	hh ow l #1
holes	hh ow l z
holiday	hh aa l ih d ey #1
holidays	hh aa l ih d ey z
home	hh ow m #1
home-made	hh ow m ey d
homes	hh ow m z
homogeneous	hh ow m ah jh iy n iy ah s
honest	aa n ih s t #1
honesty	aa n ih s t iy
honey	hh ah n iy #1
honeybees	hh ah n iy b iy z
honor	aa n er
hood	hh uh d
hoofs	hh uh f s
hook	hh uh k #1
hooking	hh uh k ih ng
hope	hh ow p #1
hoped	hh ow p t
hopeful	hh ow p f uh l
hopeless	hh ow p l ah s
horizon	hh er ay z n
horror	hh aa r er
horse	hh aa r s #2
horseback	hh aa r s b ae k
horseplay	hh aa r s p l ey
horses	hh aa r s ih z
hospitalization	hh aa s p ih t l ah z ey sh ih n
hospitals	hh aa s p ih t l z
host	hh ow s t
hostages	hh aa s t ih jh z
hot	hh aa t #1
hotel	hh ow t eh l #1
hotels	hh ow t eh l z
hour	aw r #1
hours	aw r z
house	hh aw s #1
household	hh aw s hh ow l d #1
householder	hh aw s hh ow l d er
houses	hh aw s ih z
housewives	hh aw s w ay v z
housework	hh aw s w er k
housing	hh aw z ih ng
how	hh aw #1
how's	hh aw z #1
however	hh aw eh v er
hub	hh ah b
huge	hh y uw jh
hugged	hh ah g d
hugging	hh ah g ih ng
hull	hh ah l
hum	hh ah m
human	hh y uw m ah n #1
humanism	hh y uw m ah n ih z m
humid	hh y uw m ih d #1
humidity	hh y uw m ih d ih t iy
humor	hh y uw m er #1
humorous	hh y uw m er ah s
hundred	hh ah n d r ah d
hung	hh ah ng #1
hungarian	hh ah ng g eh r iy ah n
hunter	hh ah n t er
hurriedly	hh er ih d l iy
hurry	hh er iy
hurt	hh er t #1
hurts	hh er t s
husband	hh ah z b ah n d #1
husband's	hh ah z b ah n d z
husbandry	hh ah z b ah n d r iy
husky	hh ah s k iy
hut	hh ah t
hyacinths	hh ay ah s ih n th s
hyena	hh ay iy n ah
hyenas	hh ay iy n ih z
hypocrites	hh ih p ah k r ih t s
hypothalamic	hh ay p ow th ah l ae m ih k
hypothetical	hh ay p ah th eh t ih k l
hysterical	hh ih s t eh r ih k l
i	ay #2
i'd	ay d #1
i'll	ay l #1
i'm	ay m
i've	ay v #1
ice	ay s #1
ices	ay s ih z
icicles	ay s ih k l z
icy	ay s iy
idea	ay d iy ah #1
ideal	ay d iy l #1
ideally	ay d iy l iy
ideas	ay d iy ah z
identical	ay d eh n t ih k l
identifiable	ay d eh n t ih f ay ah b l
identified	ay d eh n t ih f ay #1
identify	ay d eh n t ih f ay #2
ideological	ay d iy ah l aa jh ih k l
ideology	ay d iy aa l ah jh iy
idiosyncrasies	ih d iy ih s ih ng k r ih s iy z
idiotic	ih d iy aa t ih k #1
idiotically	ih d iy aa t ih k l iy
idly	ay d l iy
idolize	ay d ah l ay z
if	ih f #1
ignore	ih g n aa r #1
ignored	ih g n aa r d
ignores	ih g n aa r z
iguanas	ih g w aa n ih z
ill	ih l #1
illegal	ih l iy g l #1
illegally	ih l iy g l iy
illness	ih l n ih s #1
illnesses	ih l n ih s ih z
illuminated	ih l uw m ih n ey t ih d
illuminating	ih l uw m ih n ey t ih ng
illumined	ih l uw m ih n d
illusions	ih l uw sh ih n z
image	ih m ih jh #1
images	ih m ih jh ih z
imagination	ih m ae jh ih n ey sh ih n
imagine	ih m ae jh ih n #1
imagined	ih m ae jh ih n d
imitate	ih m ah t ey t
immaterial	ih m ah t ih r iy l
immediate	ih m iy d iy ah t #1
immediately	ih m iy d iy ah t l iy
immortal	ih m aa r t l
impact	ih m p ae k t
imperfect	ih m p er f ih k t
impersonal	ih m p er s n l
implausibly	ih m p l aa z ah b l iy
implications	ih m p l ah k ey sh ih n z
implied	ih m p l ay d
import	ih m p aa r t #1
importance	ih m p aa r t n s
important	ih m p aa r t ah n t
imports	ih m p aa r t s
imposes	ih m p ow z ih z
impossible	ih m p aa s ih b l
impressions	ih m p r eh sh ih n z
improved	ih m p r uw v d
improving	ih m p r uw v ih ng
impulses	ih m p ah l s ih z
in	ih n #1
inadequate	ih n ae d ih k w ah t
inadvisable	ih n ah d v ay z ah b l
inanimate	ih n ae n ah m ah t
inarticulate	ih n aa r t ih k y uh l ih t
inaugural	ih n aa g y er l
inch	ih n ch
include	ih n k l uw d #1
included	ih n k l uw d ih d
including	ih n k l uw d ih ng
inclusions	ih n k l uw sh ih n z
income	ih n k ah m #1
incomplete	ih n k ah m p l iy t
incorporated	ih n k aa r p er ey t ih d
increase	ih n k r iy s #1
increased	ih n k r iy s t
increases	ih n k r iy s ih z
increasing	ih n k r iy s ih ng
indeed	ih n d iy d
indefinable	ih n d ih f ay n ah b l
indefinite	ih n d eh f ah n ih t
indemnity	ih n d eh m n ih t iy
independent	ih n d ah p eh n d ih n t
index	ih n d eh k s
indicate	ih n d ih k ey t #1
indicated	ih n d ih k ey t ih d
indicates	ih n d ih k ey t s
indispensable	ih n d ih s p eh n s ah b l
individual	ih n d ah v ih jh uw l #1
individuals	ih n d ah v ih jh uw l z
indulge	ih n d ah l jh
industry	ih n d ah s t r iy
ineffective	ih n ah f eh k t ih v
inertia	ih n er sh ah
inevitable	ih n eh v ah t ah b l
inexact	ih n ih g z ae k t
inexcusable	ih n ih k s k y uw z ah b l
inexhaustible	ih n ih g z aa s t ah b l
infancy	ih n f ah n s iy
infection	ih n f eh k sh ih n
infectious	ih n f eh k sh uw ah s
infective	ih n f eh k t ih v
inferences	ih n f er ah n s ih z
inferiority	ih n f ih r iy aa r ah t iy
infidels	ih n f ih d l z
infield	ih n f iy l d
infiltration	ih n f ih l t r ey sh ih n
inflammatory	ih n f l ae m ah t aa r iy
inflated	ih n f l ey t ih d
influences	ih n f l uw ah n s ih z
information	ih n f er m ey sh ih n
informative	ih n f aa r m ah t ih v
informed	ih n f aa r m d
infrequent	ih n f r iy k w ah n t
infuriation	ih n f y uh r iy ey sh ih n
ingenuity	ih n jh ih n uw ih t iy
ingredient	ih n g r iy d iy ah n t #1
ingredients	ih n g r iy d iy ah n t s
inhabit	ih n hh ae b ah t
inherited	ih n hh eh r ah t ih d
inhibit	ih n hh ih b ah t
inhibitor	ih n hh ih b ih t er
inhuman	ih n hh y uw m ah n
initiative	ih n ih sh ih t ih v
injected	ih n jh eh k t ih d
injection	ih n jh eh k sh ih n #1
injection-molded	ih n jh eh k sh ih n m ow l d ih d
injuries	ih n jh er iy z
innocence	ih n ih s ih n s
inquired	ih n k w ay er d
inquiry	ih n k w ay er iy
insecticide	ih n s eh k t ih s ay d #1
insecticides	ih n s eh k t ih s ay d z
insert	ih n s er t
inside	ih n s ay d
insist	ih n s ih s t
inspiring	ih n s p ay er ih ng
instability	ih n s t ah b ih l ih t iy
installations	ih n s t ah l ey sh ih n z
installed	ih n s t aa l d
instance	ih n s t ah n s
instant	ih n s t ah n t #1
instantaneous	ih n s t ah n t ey n iy ah s
instead	ih n s t eh d
instinct	ih n s t ih ng t
instructions	ih n s t r ah k sh ih n z
instrument	ih n s t r ah m ah n t #1
instruments	ih n s t r ah m ah n t s
insufficient	ih n s ah f ih sh ih n t
insulate	ih n s ah l ey t #1
insulator	ih n s ah l ey t er
insurance	ih n sh uh r ah n s
integrated	ih n t ih g r ey t ih d
integration	ih n t ih g r ey sh ih n
integrity	ih n t eh g r ah t iy
intelligence	ih n t eh l ih jh ih n s
intelligent	ih n t eh l ih jh ih n t
intelligible	ih n t eh l ah jh ih b l
intent	ih n t eh n t
interchangeably	ih n t er ch ey n jh ah b l iy
interest	ih n t r ah s t #1
interested	ih n t r ah s t ih d
interesting	ih n t r ah s t ih ng
interior	ih n t ih r iy er
internal	ih n t er n l
interpretation	ih n t er p r ah t ey sh ih n #1
interpretations	ih n t er p r ah t ey sh ih n z
intervals	ih n t er v l z
interview	ih n t er v y uw #1
interviewee	ih n t er v y uw iy
interweaving	ih n t er w iy v ih ng
intimate	ih n t ah m ah t
into	ih n t uw #1
introduced	ih n t r ah d uw s t
intrusions	ih n t r uw sh ih n z
intuition	ih n t uw ih sh ih n
invade	ih n v ey d
invaluable	ih n v ae l y uh b l
invariably	ih n v ae r iy ah b l iy
inventories	ih n v ah n t aa r iy z
invest	ih n v eh s t #1
investigation	ih n v eh s t ih g ey sh ih n #1
investigations	ih n v eh s t ih g ey sh ih n z
inviolate	ih n v ay l ih t
invitation	ih n v ih t ey sh ih n
invoked	ih n v ow k t
involved	ih n v aa l v d
involves	ih n v aa l v z
involving	ih n v aa l v ih ng
inward	ih n w er d #1
inwardly	ih n w er d l iy
irate	ay r ey t
iris	ay r ih s
irish	ay r ih sh
iron	ay er n #1
iron-poor	ay er n p uh r
ironic	ay r aa n ih k #1
ironically	ay r aa n ih k l iy
ironing	ay er n ih ng
irons	ay er n z
irradiation	ih r ey d iy ey sh ih n
irremediable	ih r ih m iy d iy ah b l
irresponsible	ih r ih s p aa n s ah b l
irritated	ih r ah t ey t ih d
irving's	er v ih ng z
is	ih z #1
isn't	ih z n t
isotopes	ay s ah t ow p s
issue	ih sh uw #1
issued	ih sh uw d
issues	ih sh uw z
it	ih t #1
it'd	ih t uh d
it's	ih t s #1
itching	ih ch ih ng
item	ay t m #1
itemize	ay t ah m ay z
items	ay t m z
its	ih t s #2
itself	ih t s eh l f
ivory	ay v r iy
jabbed	jh ae b d
jackass	jh ae k ae s
jacket	jh ae k ih t
jaded	jh ey d ih d
jagged	jh ae g ih d
jaguars	jh ae g w aa r z
jam	jh ae m
jane	jh ey n
january	jh ae n y uw eh r iy
jar	jh aa r #1
jars	jh aa r z
jaw	jh aa #1
jealousies	jh eh l ah s iy z
jealousy	jh eh l ah s iy #1
jeep	jh iy p
jeff	jh eh f #1
jeff's	jh eh f s
jennifer's	jh eh n ih f er z
jeopardize	jh eh p er d ay z
jerk	jh er k #1
jerky	jh er k iy
jet	jh eh t
jewel	jh uw l #1
jewel-bright	jh uw l b r ay t
jim	jh ih m #1
jim's	jh ih m z
job	jh aa b
jocular	jh aa k y uh l er
john	jh aa n #1
john's	jh aa n z
join	jh oy n #1
joining	jh oy n ih ng
joint	jh oy n t
jokers	jh ow k er z
jokes	jh ow k s
joking	jh ow k ih ng
journal	jh er n l #1
journalese	jh er n ah l iy z
journalist	jh er n l ih s t
joyce	jh oy s
judge	jh ah jh #1
judged	jh ah jh d
juice	jh uw s #1
juicy	jh uw s iy
jump	jh ah m p #1
jumped	jh ah m p t
jungle	jh ah ng g l #1
jungle-like	jh ah ng g l l ay k
junior	jh uw n y er
just	jh ah s t #1
justification	jh ah s t ih f ah k ey sh ih n
kayak	k ay ae k
kayo	k ey ow
keelson	k iy l s ah n
keep	k iy p
kept	k eh p t
kernels	k er n l z
kerosene	k eh r ih s iy n
key	k iy #1
keyed	k iy d
keys	k iy z
kick	k ih k
kid	k ih d #1
kid's	k ih d z #1
kidnappers	k ih d n ae p er z
kids	k ih d z #2
kill	k ih l #1
killed	k ih l d
kin	k ih n #1
kind	k ay n d #1
kinda	k ay n d ah
kindergarten	k ih n d er g aa r t n
kindly	k ay n d l iy
kippers	k ih p er z
kissed	k ih s t
kitchen	k ih ch ih n
knack	n ae k #1
knee	n iy #1
kneeling	n iy l ih ng
knees	n iy z
knew	n uw #1
knick-	n ih k #1
knick-knacks	n ih k n ae k s
knife	n ay f #1
knifelike	n ay f l ay k
knit	n ih t #1
knitted	n ih t ih d
knives	n ay v z
knocked	n aa k t
know	n ow #1
knowed	n ow d
knowing	n ow ih ng #1
knowingly	n ow ih ng l iy
known	n ow n
knows	n ow z #1
labeled	l ey b l d
labor	l ey b er
laboratory	l ae b r ih t aa r iy
lacerate	l ae s er ey t
lack	l ae k #1
lackeys	l ae k iy z
lactating	l ae k t ey t ih ng
lad	l ae d #1
ladder	l ae d er
lady's	l ey d iy z
ladylike	l ey d iy l ay k
lagoon	l ah g uw n
laid	l ey d #1
lake	l ey k
lamb's	l ae m z
lamp	l ae m p #1
lamps	l ae m p s
land	l ae n d #1
land-based	l ae n d b ey s t
landlord	l ae n d l aa r d
landmarks	l ae n d m aa r k s
language	l ae ng g w ih jh
large	l aa r jh #1
largely	l aa r jh l iy
larger	l aa r jh er
larvae	l aa r v iy
lashed	l ae sh t
lashings	l ae sh ih ng z
last	l ae s t
latches	l ae ch ih z
late	l ey t #1
latent	l ey t n t
later	l ey t er
latest	l ey t ih s t
lathe	l ey dh
latitudes	l ae t ih t uw d z
latter	l ae t er
laugh	l ae f #1
laughed	l ae f t
laughing	l ae f ih ng
lavishly	l ae v ih sh l iy
law	l aa #1
lawful	l aa f uh l
laws	l aa z
lawyer	l aa y er #1
lawyers	l aa y er z
lay	l ey #1
lay-up	l ey ah p
layoffs	l ey aa f s
lazy	l ey z iy
lead	l iy d #1
leader	l iy d er #1
leadership	l iy d er sh ih p
leading	l iy d ih ng
leaf	l iy f #1
leaflet	l iy f l ih t
leagues	l iy g z
leap	l iy p
learn	l er n #1
learned	l er n d
least	l iy s t
leather	l eh dh er
leave	l iy v #1
leaves	l iy v z
leaving	l iy v ih ng #1
leavings	l iy v ih ng z
led	l eh d
ledger	l eh jh er
leeway	l iy w ey
left	l eh f t
leg	l eh g #1
legal	l iy g l
legend	l eh jh ih n d
legged	l eh g d
legislation	l eh jh ih s l ey sh ih n
legislative	l eh jh ih s l ey t ih v
legislature	l eh jh ih s l ey ch er
legs	l eh g z
leisure	l iy sh er
lemon	l eh m ah n
length	l eh ng th #1
lengthy	l eh ng th iy
lentils	l eh n t l z
leopards	l eh p er d z
less	l eh s #1
lesson	l eh s n #1
lessons	l eh s n z
lest	l eh s t
let	l eh t #1
let's	l eh t s
letter	l eh t er #1
letters	l eh t er z
level	l eh v l #1
level's	l eh v l z #1
leveling	l eh v l ih ng
levels	l eh v l z #2
lewd	l uw d
liberal	l ih b er l #1
liberal-led	l ih b er l l eh d
liberals	l ih b er l z
library	l ay b r eh r iy
lid	l ih d #1
lids	l ih d z
lie	l ay #1
life	l ay f #1
lifeboats	l ay f b ow t s
lifelong	l ay f l aa ng
lift	l ih f t #1
lifting	l ih f t ih ng
ligament	l ih g ah m ah n t
